Type	Size	AverageTime(microsec)	Comparisons
decreasing	33000	3166	553225
decreasing	34000	0	577389
decreasing	35000	0	594665
decreasing	36000	3071	630563
decreasing	37000	3871	651044
decreasing	38000	3771	653327
decreasing	39000	0	674097
decreasing	40000	6297	699388
decreasing	41000	3629	735064
decreasing	42000	3461	734797
decreasing	43000	0	758514
decreasing	44000	2206	777403
decreasing	45000	4775	796467
decreasing	46000	4846	816528
decreasing	47000	5332	860753
decreasing	48000	5098	855747
decreasing	49000	5561	877618
decreasing	50000	5561	894038
decreasing	51000	5650	913363
decreasing	52000	5878	931104
decreasing	53000	6742	948463
decreasing	54000	5548	965133
decreasing	55000	6003	980953
decreasing	56000	2664	997610
decreasing	57000	2381	1044960
decreasing	58000	1702	1031949
decreasing	59000	1027	1049030
decreasing	60000	5192	1065719
decreasing	61000	5591	1083836
decreasing	62000	5325	1101987
decreasing	63000	2554	1119297
decreasing	64000	1253	1152206
decreasing	65000	3805	1155561
decreasing	66000	6059	1173464
decreasing	67000	1739	1197618
decreasing	68000	3969	1217227
decreasing	69000	5600	1238993
decreasing	70000	7542	1257441
decreasing	71000	4629	1277274
decreasing	72000	4764	1298480
decreasing	73000	3951	1319162
decreasing	74000	3662	1344071
decreasing	75000	2328	1360881
decreasing	76000	3640	1383294
decreasing	77000	2418	1406486
decreasing	78000	3740	1427259
decreasing	79000	2096	1448174
decreasing	80000	3393	1467820
decreasing	81000	5082	1491423
decreasing	82000	4275	1512199
decreasing	83000	5469	1534658
decreasing	84000	5617	1553570
decreasing	85000	4694	1619317
decreasing	86000	5494	1596887
decreasing	87000	5798	1618581
decreasing	88000	5501	1639817
decreasing	89000	4260	1666488
decreasing	90000	5385	1683365
decreasing	91000	5611	1705887
decreasing	92000	5868	1748941
decreasing	93000	5685	1754480
decreasing	94000	5881	1769274
decreasing	95000	4635	1789818
decreasing	96000	5317	1815999
decreasing	97000	5831	1832661
decreasing	98000	5539	1900395
decreasing	99000	5487	1871966
decreasing	100000	5510	1890414
