Type	Size	AverageTime(microsec)	Comparisons
increasing	3700	0	3699
increasing	3800	0	3799
increasing	3900	0	3899
increasing	4000	0	3999
increasing	4100	0	4099
increasing	4200	0	4199
increasing	4300	0	4299
increasing	4400	0	4399
increasing	4500	0	4499
increasing	4600	0	4599
increasing	4700	0	4699
increasing	4800	0	4799
increasing	4900	0	4899
increasing	5000	0	4999
increasing	5100	0	5099
increasing	5200	0	5199
increasing	5300	0	5299
increasing	5400	0	5399
increasing	5500	0	5499
increasing	5600	0	5599
increasing	5700	0	5699
increasing	5800	0	5799
increasing	5900	0	5899
increasing	6000	0	5999
increasing	6100	0	6099
increasing	6200	0	6199
increasing	6300	0	6299
increasing	6400	0	6399
increasing	6500	0	6499
increasing	6600	0	6599
increasing	6700	0	6699
increasing	6800	0	6799
increasing	6900	0	6899
increasing	7000	0	6999
increasing	7100	0	7099
increasing	7200	0	7199
increasing	7300	0	7299
increasing	7400	0	7399
increasing	7500	0	7499
increasing	7600	0	7599
increasing	7700	0	7699
increasing	7800	0	7799
increasing	7900	0	7899
increasing	8000	0	7999
increasing	8100	0	8099
increasing	8200	0	8199
increasing	8300	0	8299
increasing	8400	0	8399
increasing	8500	0	8499
increasing	8600	0	8599
increasing	8700	0	8699
increasing	8800	0	8799
increasing	8900	0	8899
increasing	9000	0	8999
increasing	9100	0	9099
increasing	9200	0	9199
increasing	9300	347	9299
increasing	9400	0	9399
increasing	9500	333	9499
increasing	9600	0	9599
increasing	9700	0	9699
increasing	9800	0	9799
increasing	9900	0	9899
increasing	10000	334	9999
increasing	10100	0	10099
increasing	10200	0	10199
increasing	10300	0	10299
increasing	10400	0	10399
increasing	10500	0	10499
increasing	10600	0	10599
increasing	10700	0	10699
increasing	10800	0	10799
increasing	10900	0	10899
increasing	11000	0	10999
increasing	11100	0	11099
increasing	11200	0	11199
increasing	11300	90	11299
increasing	11400	0	11399
increasing	11500	0	11499
increasing	11600	334	11599
increasing	11700	0	11699
increasing	11800	0	11799
increasing	11900	0	11899
increasing	12000	0	11999
increasing	12100	0	12099
increasing	12200	0	12199
increasing	12300	0	12299
increasing	12400	0	12399
increasing	12500	0	12499
increasing	12600	0	12599
increasing	12700	0	12699
increasing	12800	0	12799
increasing	12900	0	12899
increasing	13000	0	12999
increasing	13100	0	13099
increasing	13200	0	13199
increasing	13300	0	13299
increasing	13400	0	13399
increasing	13500	0	13499
increasing	13600	0	13599
increasing	13700	0	13699
increasing	13800	0	13799
increasing	13900	0	13899
increasing	14000	107	13999
increasing	14100	0	14099
increasing	14200	0	14199
increasing	14300	0	14299
increasing	14400	0	14399
increasing	14500	0	14499
increasing	14600	0	14599
increasing	14700	0	14699
increasing	14800	0	14799
increasing	14900	0	14899
increasing	15000	0	14999
increasing	15100	0	15099
increasing	15200	0	15199
increasing	15300	0	15299
increasing	15400	0	15399
increasing	15500	239	15499
increasing	15600	0	15599
increasing	15700	0	15699
increasing	15800	0	15799
increasing	15900	0	15899
increasing	16000	0	15999
increasing	16100	0	16099
increasing	16200	0	16199
increasing	16300	0	16299
increasing	16400	0	16399
increasing	16500	0	16499
increasing	16600	0	16599
increasing	16700	0	16699
increasing	16800	0	16799
increasing	16900	0	16899
increasing	17000	0	16999
increasing	17100	0	17099
increasing	17200	0	17199
increasing	17300	0	17299
increasing	17400	0	17399
increasing	17500	0	17499
increasing	17600	0	17599
increasing	17700	0	17699
increasing	17800	0	17799
increasing	17900	0	17899
increasing	18000	0	17999
increasing	18100	0	18099
increasing	18200	0	18199
increasing	18300	0	18299
increasing	18400	0	18399
increasing	18500	0	18499
increasing	18600	0	18599
increasing	18700	0	18699
increasing	18800	333	18799
increasing	18900	0	18899
increasing	19000	333	18999
increasing	19100	0	19099
increasing	19200	0	19199
increasing	19300	329	19299
increasing	19400	0	19399
increasing	19500	0	19499
increasing	19600	328	19599
increasing	19700	0	19699
increasing	19800	0	19799
increasing	19900	0	19899
increasing	20000	0	19999
decreasing	100	0	4950
decreasing	200	0	19897
decreasing	300	0	44848
decreasing	400	334	79797
decreasing	500	342	124744
decreasing	600	323	179692
decreasing	700	672	244647
decreasing	800	664	319586
decreasing	900	202	404544
decreasing	1000	0	499493
decreasing	1100	0	604435
decreasing	1200	1298	719387
decreasing	1300	715	844329
decreasing	1400	3186	979279
decreasing	1500	187	1124227
decreasing	1600	4493	1279177
decreasing	1700	3027	1444138
decreasing	1800	3333	1619087
decreasing	1900	2326	1804030
decreasing	2000	2204	1998978
decreasing	2100	5779	2203930
decreasing	2200	5298	2418872
decreasing	2300	5578	2643832
decreasing	2400	5506	2878779
decreasing	2500	5580	3123728
decreasing	2600	11113	3378675
decreasing	2700	6481	3643626
decreasing	2800	9571	3918572
decreasing	2900	8203	4203510
decreasing	3000	8408	4498462
decreasing	3100	10968	4803419
decreasing	3200	10835	5118369
decreasing	3300	11205	5443315
decreasing	3400	11176	5778267
decreasing	3500	9141	6123196
decreasing	3600	13196	6478167
decreasing	3700	15106	6843119
decreasing	3800	16747	7218058
decreasing	3900	16601	7603009
decreasing	4000	16430	7997952
decreasing	4100	16918	8402915
decreasing	4200	16583	8817855
decreasing	4300	22164	9242814
decreasing	4400	16871	9677749
decreasing	4500	22050	10122704
decreasing	4600	23451	10577654
decreasing	4700	20131	11042607
decreasing	4800	22172	11517562
decreasing	4900	27790	12002495
decreasing	5000	22194	12497452
decreasing	5100	22578	13002404
decreasing	5200	31138	13517324
decreasing	5300	23707	14042278
decreasing	5400	33412	14577246
decreasing	5500	30896	15122176
decreasing	5600	31888	15677143
decreasing	5700	32828	16242086
decreasing	5800	33024	16817050
decreasing	5900	34725	17401990
decreasing	6000	37693	17996920
decreasing	6100	37386	18601863
decreasing	6200	38172	19216831
decreasing	6300	41046	19841775
decreasing	6400	36544	20476740
decreasing	6500	47599	21121689
decreasing	6600	43846	21776638
decreasing	6700	46368	22441574
decreasing	6800	56574	23116535
decreasing	6900	47691	23801470
decreasing	7000	49975	24496425
decreasing	7100	55250	25201386
decreasing	7200	50016	25916322
decreasing	7300	57566	26641283
decreasing	7400	53070	27376229
decreasing	7500	55255	28121161
decreasing	7600	61410	28876112
decreasing	7700	61425	29641058
decreasing	7800	60678	30416001
decreasing	7900	62011	31200955
decreasing	8000	60358	31995918
decreasing	8100	66323	32800847
decreasing	8200	67139	33615791
decreasing	8300	64863	34440747
decreasing	8400	68037	35275697
decreasing	8500	71970	36120665
decreasing	8600	78789	36975606
decreasing	8700	77425	37840545
decreasing	8800	81126	38715523
decreasing	8900	81269	39600461
decreasing	9000	85411	40495383
decreasing	9100	79861	41400366
decreasing	9200	88789	42315308
decreasing	9300	88511	43240227
decreasing	9400	95795	44175181
decreasing	9500	85383	45120134
decreasing	9600	93767	46075082
decreasing	9700	95953	47040055
decreasing	9800	96624	48015006
decreasing	9900	101955	48999937
decreasing	10000	106575	49994886
decreasing	10100	101412	50999827
decreasing	10200	105063	52014772
decreasing	10300	109300	53039727
decreasing	10400	109468	54074670
decreasing	10500	114264	55119631
decreasing	10600	119883	56174567
decreasing	10700	115118	57239520
decreasing	10800	121703	58314469
decreasing	10900	116182	59399418
decreasing	11000	125252	60494391
decreasing	11100	128584	61599328
decreasing	11200	125864	62714255
decreasing	11300	130236	63839262
decreasing	11400	133865	64974164
decreasing	11500	131835	66119119
decreasing	11600	135223	67274047
decreasing	11700	141014	68439056
decreasing	11800	145651	69613964
decreasing	11900	145838	70798931
decreasing	12000	149286	71993857
decreasing	12100	146708	73198822
decreasing	12200	151247	74413767
decreasing	12300	155912	75638703
decreasing	12400	162695	76873654
decreasing	12500	157873	78118613
decreasing	12600	155754	79373559
decreasing	12700	170588	80638481
decreasing	12800	167359	81913463
decreasing	12900	166821	83198390
decreasing	13000	177123	84493352
decreasing	13100	171680	85798295
decreasing	13200	192829	87113257
decreasing	13300	182237	88438200
decreasing	13400	182410	89773147
decreasing	13500	180789	91118100
decreasing	13600	187778	92473026
decreasing	13700	187379	93837994
decreasing	13800	197858	95212945
decreasing	13900	198215	96597860
decreasing	14000	202879	97992814
decreasing	14100	206766	99397797
decreasing	14200	209891	100812728
decreasing	14300	209492	102237686
decreasing	14400	211501	103672643
decreasing	14500	213396	105117613
decreasing	14600	214882	106572519
decreasing	14700	226980	108037499
decreasing	14800	218725	109512454
decreasing	14900	225390	110997382
decreasing	15000	226511	112492338
decreasing	15100	239611	113997280
decreasing	15200	239876	115512210
decreasing	15300	236872	117037194
decreasing	15400	241020	118572092
decreasing	15500	254416	120117066
decreasing	15600	253959	121672031
decreasing	15700	253802	123236989
decreasing	15800	254245	124811926
decreasing	15900	260239	126396883
decreasing	16000	265244	127991771
decreasing	16100	259242	129596760
decreasing	16200	265583	131211720
decreasing	16300	277334	132836644
decreasing	16400	274682	134471628
decreasing	16500	280717	136116552
decreasing	16600	281279	137771506
decreasing	16700	286482	139436464
decreasing	16800	291563	141111408
decreasing	16900	291539	142796343
decreasing	17000	296891	144491295
decreasing	17100	305628	146196263
decreasing	17200	298550	147911218
decreasing	17300	302195	149636159
decreasing	17400	312328	151371114
decreasing	17500	315379	153116064
decreasing	17600	340517	154870993
decreasing	17700	322178	156635951
decreasing	17800	326593	158410899
decreasing	17900	325865	160195881
decreasing	18000	334651	161990790
decreasing	18100	333772	163795746
decreasing	18200	335565	165610709
decreasing	18300	339475	167435649
decreasing	18400	354389	169270574
decreasing	18500	350485	171115517
decreasing	18600	354415	172970496
decreasing	18700	353870	174835420
decreasing	18800	364397	176710390
decreasing	18900	364778	178595320
decreasing	19000	369801	180490292
decreasing	19100	375033	182395242
decreasing	19200	390396	184310186
decreasing	19300	375074	186235072
decreasing	19400	395109	188170090
decreasing	19500	390469	190114999
decreasing	19600	401235	192069985
decreasing	19700	389255	194034922
decreasing	19800	400743	196009899
decreasing	19900	401171	197994837
decreasing	20000	406505	199989789
