Type	Size	AverageTime(microsec)	Comparisons
increasing	16000	1272	282138
increasing	17000	1651	325963
increasing	18000	2778	329173
increasing	19000	1703	324786
increasing	20000	4280	340366
increasing	21000	200	380513
increasing	22000	4452	406079
increasing	23000	3186	449106
increasing	24000	859	463031
increasing	25000	5017	458390
increasing	26000	3701	511202
increasing	27000	381	519039
increasing	28000	6074	540293
increasing	29000	4047	559812
increasing	30000	4103	554632
increasing	31000	0	581817
increasing	32000	2304	616905
increasing	33000	4915	657159
increasing	34000	5226	674622
increasing	35000	4673	672055
increasing	36000	5178	704907
increasing	37000	5638	716174
increasing	38000	5306	755230
increasing	39000	5512	726249
increasing	40000	7478	774790
increasing	41000	1780	778620
increasing	42000	6175	811384
increasing	43000	4827	891888
increasing	44000	5817	862253
increasing	45000	5560	850647
increasing	46000	5904	958157
increasing	47000	6185	925400
increasing	48000	2289	916607
increasing	49000	2635	959265
increasing	50000	1774	1025934
increasing	51000	3940	999789
increasing	52000	3508	1017159
increasing	53000	5836	1033720
increasing	54000	6839	1093256
increasing	55000	4566	1065152
increasing	56000	3953	1088986
increasing	57000	6052	1124990
increasing	58000	2371	1164355
increasing	59000	3941	1229514
increasing	60000	5739	1229948
increasing	61000	1530	1257110
increasing	62000	3497	1299441
increasing	63000	6861	1263898
increasing	64000	4935	1356122
increasing	65000	4144	1335776
increasing	66000	5265	1339948
increasing	67000	5234	1349847
increasing	68000	5464	1331040
increasing	69000	2276	1439814
increasing	70000	5379	1462956
increasing	71000	5599	1550448
increasing	72000	5975	1446260
increasing	73000	5630	1514423
increasing	74000	5930	1516926
increasing	75000	5121	1636070
increasing	76000	5427	1593515
increasing	77000	5615	1616014
increasing	78000	6145	1633592
increasing	79000	8755	1716374
increasing	80000	5760	1649638
increasing	81000	5605	1665775
increasing	82000	5120	1657272
increasing	83000	5590	1687545
increasing	84000	5595	1681957
increasing	85000	5717	1813882
increasing	86000	5700	1771039
increasing	87000	5436	1812439
increasing	88000	5653	1801172
increasing	89000	5797	1807167
increasing	90000	5883	1916906
increasing	91000	5588	1943386
increasing	92000	11120	1973365
increasing	93000	10100	2135506
increasing	94000	7381	2016081
increasing	95000	7227	2140332
increasing	96000	6669	2132478
increasing	97000	5558	2100513
increasing	98000	9178	2121839
increasing	99000	12223	2167888
increasing	100000	7519	2144782
decreasing	1000	0	14091
decreasing	2000	0	29092
decreasing	3000	0	49385
decreasing	4000	332	65840
decreasing	5000	742	84110
decreasing	6000	665	100011
decreasing	7000	333	119169
decreasing	8000	1312	136370
decreasing	9000	662	162904
decreasing	10000	1243	182418
decreasing	11000	665	202744
decreasing	12000	0	206752
decreasing	13000	968	233540
decreasing	14000	1205	252688
decreasing	15000	336	274842
decreasing	16000	1338	296782
decreasing	17000	1870	315397
decreasing	18000	493	363520
decreasing	19000	3604	355040
decreasing	20000	0	365148
decreasing	21000	4451	426371
decreasing	22000	2501	425710
decreasing	23000	2255	502052
decreasing	24000	4822	474605
decreasing	25000	3507	500839
decreasing	26000	699	500758
decreasing	27000	5000	543186
decreasing	28000	4054	547094
decreasing	29000	3546	549610
decreasing	30000	268	601711
decreasing	31000	6118	610542
decreasing	32000	4939	639158
decreasing	33000	4149	641694
decreasing	34000	3313	690198
decreasing	35000	0	702163
decreasing	36000	2373	713242
decreasing	37000	2310	730630
decreasing	38000	4641	797015
decreasing	39000	4882	799910
decreasing	40000	16754	788159
decreasing	41000	5069	834417
decreasing	42000	7066	857658
decreasing	43000	5718	916851
decreasing	44000	5740	971980
decreasing	45000	5923	934052
decreasing	46000	2159	993753
decreasing	47000	1362	967732
decreasing	48000	3620	1042365
decreasing	49000	5618	1014237
decreasing	50000	6913	1069517
decreasing	51000	2168	1070575
decreasing	52000	3981	1127354
decreasing	53000	5556	1114983
decreasing	54000	7169	1109101
decreasing	55000	4282	1139395
decreasing	56000	4174	1188592
decreasing	57000	1756	1208511
decreasing	58000	3679	1193087
decreasing	59000	5198	1266950
decreasing	60000	3755	1278605
decreasing	61000	5168	1244527
decreasing	62000	3871	1343135
decreasing	63000	4813	1336982
decreasing	64000	3613	1413234
decreasing	65000	5315	1409313
decreasing	66000	3809	1495200
decreasing	67000	5478	1444686
decreasing	68000	5581	1488448
decreasing	69000	3737	1540162
decreasing	70000	3800	1523084
decreasing	71000	6790	1564318
decreasing	72000	5590	1710923
decreasing	73000	3902	1613587
decreasing	74000	5368	1600545
decreasing	75000	5704	1603453
decreasing	76000	6524	1684276
decreasing	77000	6258	1643938
decreasing	78000	8717	1823662
decreasing	79000	8646	1707123
decreasing	80000	7494	1879482
decreasing	81000	5606	1708907
decreasing	82000	5375	1777197
decreasing	83000	5634	1804792
decreasing	84000	9012	1954281
decreasing	85000	9412	1945345
decreasing	86000	10454	2039097
decreasing	87000	7913	1939856
decreasing	88000	6207	2000198
decreasing	89000	5632	2111488
decreasing	90000	9851	2126762
decreasing	91000	7775	2254303
decreasing	92000	6618	2142770
decreasing	93000	8781	2187147
decreasing	94000	10338	2134564
decreasing	95000	7974	2201608
decreasing	96000	6120	2213964
decreasing	97000	9727	2070414
decreasing	98000	7502	2279833
decreasing	99000	9703	2193416
decreasing	100000	7239	2436591
