Type	Size	AverageTime(microsec)	Comparisons
decreasing	53000	14723	1459933
decreasing	54000	14627	1487984
decreasing	55000	16026	1521200
decreasing	56000	16533	1549429
decreasing	57000	18135	1581999
decreasing	58000	17061	1610393
decreasing	59000	13048	1643438
decreasing	60000	12738	1670788
decreasing	61000	16611	1704030
decreasing	62000	18346	1732031
decreasing	63000	16560	1765727
decreasing	64000	18453	1793501
decreasing	65000	16505	1825232
decreasing	66000	18222	1853966
decreasing	67000	16628	1888328
decreasing	68000	16778	1916350
decreasing	69000	21724	1950186
decreasing	70000	22176	1978730
decreasing	71000	16750	2013553
decreasing	72000	16710	2042256
decreasing	73000	16789	2074642
decreasing	74000	17135	2104154
decreasing	75000	16710	2138623
decreasing	76000	22245	2167076
decreasing	77000	16812	2200782
decreasing	78000	31472	2229199
decreasing	79000	18247	2264300
decreasing	80000	22279	2292822
decreasing	81000	22285	2325695
decreasing	82000	22129	2354972
decreasing	83000	19634	2390222
decreasing	84000	18025	2418315
decreasing	85000	26263	2452918
decreasing	86000	22239	2481397
decreasing	87000	19110	2516355
decreasing	88000	20481	2545438
decreasing	89000	20131	2578532
decreasing	90000	23843	2608194
decreasing	91000	21177	2642987
decreasing	92000	19932	2671569
decreasing	93000	23626	2705472
decreasing	94000	23897	2734377
decreasing	95000	22141	2769632
decreasing	96000	26108	2799183
decreasing	97000	27100	2831871
decreasing	98000	22429	2861232
decreasing	99000	30013	2897361
decreasing	100000	27400	2926821
